Account,Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC Breaking News,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN,Sat Sep 22 18:48:42 +0000 2018,-0.0258,0.208,0.212,0.579,57
BBC Breaking News,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL,Sat Sep 22 18:23:52 +0000 2018,0.25,0.191,0.139,0.67,58
BBC Breaking News,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,Sat Sep 22 12:20:02 +0000 2018,-0.5574,0.0,0.217,0.783,59
BBC Breaking News,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58",Sat Sep 22 11:10:39 +0000 2018,0.128,0.112,0.092,0.797,60
BBC Breaking News,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp",Sat Sep 22 06:19:09 +0000 2018,-0.875,0.0,0.385,0.615,61
BBC Breaking News,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN",Fri Sep 21 13:17:13 +0000 2018,0.6542,0.211,0.0,0.789,62
BBC Breaking News,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0",Fri Sep 21 13:14:06 +0000 2018,-0.5106,0.0,0.142,0.858,63
BBC Breaking News,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ",Fri Sep 21 12:02:41 +0000 2018,0.0,0.0,0.0,1.0,64
BBC Breaking News,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin",Fri Sep 21 07:52:13 +0000 2018,-0.3818,0.0,0.148,0.852,65
BBC Breaking News,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja,Thu Sep 20 16:10:35 +0000 2018,0.0,0.0,0.0,1.0,66
BBC Breaking News,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY",Thu Sep 20 14:13:40 +0000 2018,-0.4404,0.0,0.127,0.873,67
BBC Breaking News,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ",Thu Sep 20 13:36:45 +0000 2018,0.3612,0.122,0.0,0.878,68
BBC Breaking News,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…",Thu Sep 20 12:59:39 +0000 2018,0.0,0.0,0.0,1.0,69
BBC Breaking News,Pakistan court orders release of ex-PM Nawaz Sharif and suspends his jail sentence https://t.co/3LqxVQ6F51,Wed Sep 19 10:21:14 +0000 2018,0.0772,0.091,0.0,0.909,70
BBC Breaking News,"Woman dies after caravan blown off cliff in Galway, Ireland as Storm Ali brings disruption to British Isles https://t.co/wubY4511gO",Wed Sep 19 09:36:38 +0000 2018,-0.3612,0.0,0.122,0.878,71
BBC Breaking News,"UK inflation rate for August unexpectedly rises to 2.7%, highest in six months https://t.co/GmqT0MuLhi",Wed Sep 19 08:33:35 +0000 2018,0.0,0.0,0.0,1.0,72
BBC Breaking News,"Moon and Kim hail new future for North and South Korea, signing wide-ranging agreement in Pyongyang https://t.co/QNzHH5gdDP",Wed Sep 19 02:59:21 +0000 2018,0.5423,0.231,0.0,0.769,73
BBC Breaking News,Germany's spy chief forced out of job over his controversial response to reports of far-right unrest in Chemnitz https://t.co/NUAvqHojSE,Tue Sep 18 16:12:26 +0000 2018,-0.5859,0.0,0.22,0.78,74
BBC Breaking News,"RT @BBCSport: Ben Stokes and Alex Hales have been charged with bringing the game into disrepute by the ECB.

https://t.co/1mH5geVa1O https:…",Tue Sep 18 13:13:51 +0000 2018,-0.2023,0.0,0.083,0.917,75
BBC Breaking News,The US is imposing new tariffs on $200bn (£150bn) worth of Chinese goods as it escalates its trade war with Beijing https://t.co/CjuxgjX23d,Mon Sep 17 22:41:12 +0000 2018,-0.5267,0.073,0.202,0.725,76
BBC Breaking News,Thai cave rescuer Vernon Unsworth sues Elon Musk over his repeated claims the British diver is child abuser https://t.co/wJeixByjo9,Mon Sep 17 18:11:18 +0000 2018,-0.5574,0.0,0.167,0.833,77
BBC Breaking News,Russia and Turkey to create buffer zone in Syria's northern Idlib province to separate Syrian forces and rebels https://t.co/1xjM2afBPr,Mon Sep 17 16:42:17 +0000 2018,0.0772,0.1,0.086,0.813,78
BBC Breaking News,"US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comme… https://t.co/MPyA5T4jiH",Mon Sep 17 14:42:34 +0000 2018,-0.0516,0.148,0.156,0.697,79
BBC Breaking News,"International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE3584i",Mon Sep 17 09:18:01 +0000 2018,0.1027,0.111,0.086,0.802,80
BBC Breaking News,"Police have sealed off the Prezzo restaurant in High Street, Salisbury, following a 'medical incident' involving a man and a woman",Sun Sep 16 19:30:19 +0000 2018,0.0,0.0,0.0,1.0,81
BBC Breaking News,Correction: Christine Blasey Ford reveals she was teenager allegedly assaulted by Supreme Court nominee Kavanaugh https://t.co/NMZLm0Ro4C,Sun Sep 16 19:24:39 +0000 2018,0.0516,0.171,0.162,0.667,82
BBC Breaking News,"RT @BBCSport: Kenya's Eliud Kipchoge has set a new marathon world record in Berlin.

https://t.co/D9EEUxebgM https://t.co/mb8oigT6FB",Sun Sep 16 09:31:11 +0000 2018,0.0,0.0,0.0,1.0,83
BBC Breaking News,"At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almo… https://t.co/dAXPvHdCAW",Sat Sep 15 01:32:56 +0000 2018,-0.6486,0.0,0.17,0.83,84
BBC Breaking News,"Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 hom… https://t.co/EWslcjopvp",Fri Sep 14 21:00:56 +0000 2018,-0.6705,0.0,0.209,0.791,85
BBC Breaking News,"Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWNV1",Fri Sep 14 18:28:18 +0000 2018,-0.6887,0.066,0.325,0.608,86
BBC Breaking News,"Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8VmfnfWtx",Fri Sep 14 15:41:17 +0000 2018,0.2023,0.114,0.0,0.886,87
BBC Breaking News,"#HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Eva… https://t.co/hxwsLoRxka",Fri Sep 14 11:48:34 +0000 2018,0.0,0.0,0.0,1.0,88
BBC Breaking News,"#HurricaneFlorence makes landfall on east coast of US

Follow our live updates https://t.co/DEangW2yzK https://t.co/yy1qY9b4ui",Fri Sep 14 10:05:23 +0000 2018,0.0,0.0,0.0,1.0,89
BBC Breaking News,Suspects in poisoning of ex-Russian spy Sergei Skripal tell state-sponsored TV network RT they visited Salisbury as… https://t.co/wJsPNLoMCp,Thu Sep 13 10:26:24 +0000 2018,-0.7351,0.0,0.279,0.721,90
BBC Breaking News,Two men named as suspects in poisoning of Russian ex-spy claim they were merely tourists to Salisbury Cathedral https://t.co/PFXBDyJrkf,Thu Sep 13 10:13:52 +0000 2018,-0.7351,0.0,0.267,0.733,91
BBC Breaking News,"British couple who died at Egyptian hotel were killed by E. coli, the country's general prosecutor says https://t.co/PqSvcJ75N8",Wed Sep 12 15:02:35 +0000 2018,-0.8442,0.0,0.336,0.664,92
BBC Breaking News,"""Nothing criminal"" about men named by UK over poisoning of ex-Russian spy Sergei Skripal and daughter, Putin says https://t.co/UjoGhhCn3G",Wed Sep 12 07:06:33 +0000 2018,-0.2556,0.118,0.161,0.721,93
BBC Breaking News,"RT @bbctms: WICKET!
There it is! Anderson cleans up Shami, bowled for 0. England win the match and Jimmy Anderson takes his 564th Test wick…",Tue Sep 11 16:30:50 +0000 2018,0.658,0.154,0.0,0.846,94
BBC Breaking News,"RT @BBCSport: Uefa plans to introduce a third European club competition alongside the Champions League and Europa League from 2021.

👉 http…",Tue Sep 11 09:21:43 +0000 2018,0.5267,0.129,0.0,0.871,95
BBC Breaking News,"UK unemployment fell by 55,000 in the three months to July, ONS figures say https://t.co/XYEvJ6AbkM",Tue Sep 11 08:35:00 +0000 2018,-0.4404,0.0,0.172,0.828,96
BBC Breaking News,England's leading Test run scorer Alastair Cook dismissed for 147 in his last ever innings for his country… https://t.co/XCWX52LxXE,Mon Sep 10 14:09:41 +0000 2018,0.0,0.0,0.0,1.0,97
BBC Breaking News,"RT @bbctms: THERE IT IS!
What a moment for Alastair Cook on his last-ever Test innings he brings up his hundred! Not sure he'd have expecte…",Mon Sep 10 11:45:36 +0000 2018,-0.3707,0.0,0.096,0.904,98
BBC Breaking News,"Sweden's far right makes gains in election as establishment parties deadlocked, exit polls predict https://t.co/GXIMNX2uTb",Sun Sep 09 18:09:57 +0000 2018,0.6249,0.282,0.0,0.718,99
BBC Breaking News,"28-year-old woman charged with attempted murder after man stabbed on Saturday in Barnsley, South Yorkshire https://t.co/IQTo0Ap8cW",Sun Sep 09 17:03:42 +0000 2018,-0.8555,0.0,0.42,0.58,100
CBS News,Suspect in deadly South Carolina police ambush identified as elderly vet https://t.co/6awbOcZOrq https://t.co/PNUtOzDumw,Fri Oct 05 03:33:03 +0000 2018,-0.296,0.0,0.155,0.845,1
CBS News,"Sen. Heidi Heitkamp, who will vote no on Kavanaugh, raises significant funds in 3rd quarter https://t.co/Rv14bGHRzF https://t.co/1wcqXx0mvs",Fri Oct 05 03:18:03 +0000 2018,-0.1027,0.095,0.116,0.789,2
CBS News,Democratic senators request intel chief provide more information on Trump's claim about Chinese hacking… https://t.co/5m6t1TDqSr,Fri Oct 05 03:10:05 +0000 2018,0.0,0.0,0.0,1.0,3
CBS News,Stock prices tumble as interest rate fears grip Wall Street https://t.co/Q8QEfb8iLN https://t.co/NNh4gElGur,Fri Oct 05 03:03:03 +0000 2018,0.0516,0.19,0.177,0.633,4
CBS News,"Republicans still plan to begin voting on Supreme Court nominee Brett Kavanaugh on the Senate floor Friday, with fi… https://t.co/TfOTSpsOlq",Fri Oct 05 03:00:01 +0000 2018,0.5574,0.159,0.0,0.841,5
CBS News,Dog with 3D-printed skull gives researchers hope for helping human patients https://t.co/6cQwmQ2Jtx https://t.co/0WfsX7RHNF,Fri Oct 05 02:39:54 +0000 2018,0.6249,0.317,0.0,0.683,6
CBS News,"Trump blasts Democrats for ""rage-fueled resistance"" to Kavanaugh nomination https://t.co/jKDB9T08KE https://t.co/XCsfWgoAee",Fri Oct 05 02:14:35 +0000 2018,0.0,0.0,0.0,1.0,7
CBS News,"🇺🇸 👋 So long, Cap: Chris Evans appears to bid farewell to Captain America https://t.co/5s0yvmzFGD https://t.co/0wpmIMMgyZ",Fri Oct 05 01:58:28 +0000 2018,0.7184,0.273,0.0,0.727,8
CBS News,"WATCH: Singer Janis Joplin died 48 years ago today at the age of 27. Her soulful music has endured for generations,… https://t.co/uIX8R7dGq1",Fri Oct 05 01:35:28 +0000 2018,-0.5574,0.0,0.146,0.854,9
CBS News,1-year-old girl found alive under debris from deadly tsunami in Indonesia https://t.co/9sEh5p54eC https://t.co/bBuLGOfBM9,Fri Oct 05 01:14:41 +0000 2018,0.3818,0.178,0.0,0.822,10
CBS News,"Elon Musk is taunting the government regulators who threatened to oust him as Tesla's CEO, just days after he settl… https://t.co/XXYf1JCS2M",Fri Oct 05 00:54:32 +0000 2018,-0.4588,0.0,0.13,0.87,11
CBS News,"Kavanaugh fight rallies GOP ahead of midterms: ""It's like pouring gasoline on the base"" https://t.co/jwT7VIaYke https://t.co/1AT8ljJplW",Fri Oct 05 00:34:56 +0000 2018,-0.0258,0.131,0.136,0.733,12
CBS News,"Anti-Kavanaugh protesters take over Senate building, Amy Schumer among those detained https://t.co/AssMs1leog https://t.co/9YW0zwWkZ1",Fri Oct 05 00:14:44 +0000 2018,-0.5574,0.0,0.295,0.705,13
